0,0,1,2,3,4,5,6
0,42,29,6,19,28,17,2
0,40,37,41,47,4,20,10
0,7,12,44,14,30,3,1
0,33,40,3,17,44,6,47
0,24,12,45,43,4,44,38
0,18,2,12,47,36,13,20
0,19,4,31,21,2,40,35
0,9,3,1,16,4,20,22
0,37,34,28,22,21,26,41
0,42,37,4,27,33,35,41
0,44,19,38,46,24,39,14
0,37,8,44,40,18,14,34
0,28,38,23,8,0,7,31
0,30,23,42,45,21,17,39
0,48,24,34,31,30,17,40
0,1,25,40,21,10,48,28
0,8,26,30,38,14,45,48
0,0,19,9,45,10,29,8
0,22,30,26,29,44,23,25
0,46,0,40,19,7,18,5
0,29,38,20,31,19,0,21
0,23,47,21,7,45,35,25
0,26,21,36,47,6,0,41
0,11,35,33,36,20,12,13
0,15,27,12,14,10,4,31
0,5,0,22,7,35,28,33
0,40,24,26,10,13,37,4
0,16,12,44,11,26,29,2
0,25,16,47,8,39,2,37
0,14,48,39,35,32,25,5
0,44,29,16,22,47,15,39
0,18,20,23,9,41,25,35
0,22,39,3,8,21,37,38
0,41,33,13,32,24,7,40
0,6,33,12,10,34,14,23
0,0,42,15,11,48,43,3
0,37,11,27,46,24,41,34
0,32,46,16,48,29,2,24
0,20,13,19,25,32,39,45
0,44,33,5,14,4,11,9
0,4,12,3,8,32,41,37
0,43,37,22,17,47,24,18
0,34,14,19,10,4,6,28
0,13,0,21,45,31,19,1
0,20,39,44,48,0,33,16
0,15,12,46,43,17,22,42
0,38,32,4,45,41,47,30
0,23,48,5,45,1,17,32
0,44,9,10,13,32,29,12
0,10,9,16,48,17,1,25
0,11,26,41,47,3,21,37
0,19,31,18,27,48,45,2
0,3,23,30,21,28,10,42
0,30,0,31,34,32,19,29
0,33,47,36,3,9,11,27
0,21,23,19,46,42,24,18
0,36,18,40,15,28,8,22
0,13,31,14,23,44,5,46
0,34,27,45,33,17,13,35
0,29,7,39,3,40,33,41
0,16,18,45,12,1,31,24
0,24,14,15,2,47,25,42
0,25,15,43,47,46,36,35
0,34,8,20,18,35,44,21
0,20,7,6,35,10,48,37
0,38,45,29,19,25,42,32
0,14,3,42,34,38,27,36
0,14,25,40,34,39,22,33
0,19,12,40,27,9,36,18
0,6,44,27,2,25,15,26
0,13,48,12,2,10,0,9
0,48,17,39,24,13,16,12
0,40,22,9,35,6,11,21
0,33,6,14,4,46,31,36
0,23,26,31,2,48,19,29
0,4,13,0,24,42,1,25
0,28,9,17,41,1,44,20
0,40,29,33,41,39,13,45
0,33,27,42,19,7,29,44
0,11,14,45,43,9,7,18
0,35,45,1,37,2,17,6
0,28,39,41,12,5,38,31
0,46,28,19,48,24,36,16
0,20,17,32,36,10,43,35
0,20,21,45,2,25,47,12
0,1,43,8,20,47,27,29
